customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
OU78470,ARIZONA,F,Master,2932804,32006,94,0,Corporate Auto,FOUR-DOOR CAR,56
XW90265,ARIZONA,F,Bachelor,577352,81676,72,0,Personal Auto,TWO-DOOR CAR,463
HS67749,CALIFORNIA,M,College,684711,71038,86,0,Corporate Auto,FOUR-DOOR CAR,205
VZ51506,ARIZONA,F,High School or Below,359531,0,103,0,Corporate Auto,LUXURY,741
UI64281,NEVADA,F,Master,2285561,20832,65,0,Personal Auto,TWO-DOOR CAR,56
AE98193,WASHINGTON,M,High School or Below,785941,0,113,0,Personal Auto,SUV,813
AZ74055,OREGON,M,High School or Below,411557,52405,103,0,Personal Auto,FOUR-DOOR CAR,494
XS76911,ARIZONA,F,High School or Below,502963,0,133,0,Personal Auto,LUXURY,795
AY40674,WASHINGTON,F,Bachelor,482141,26583,1005,4,Personal Auto,SUV,614
NA12740,OREGON,M,Master,500431,25486,65,0,Special Auto,TWO-DOOR CAR,72
UA84837,ARIZONA,M,College,863005,24065,111,0,Corporate Auto,FOUR-DOOR CAR,532
DJ51510,ARIZONA,F,High School or Below,932208,70435,116,0,Personal Auto,FOUR-DOOR CAR,67
VM58985,CALIFORNIA,M,College,1672756,0,76,2,Personal Auto,TWO-DOOR CAR,402
OH60605,OREGON,F,High School or Below,365253,39679,92,0,Personal Auto,TWO-DOOR CAR,641
UO98052,NEVADA,M,College,615860,0,89,0,Personal Auto,FOUR-DOOR CAR,342
NC53424,CALIFORNIA,M,Bachelor,437608,0,69,4,Personal Auto,TWO-DOOR CAR,331
LQ13873,NEVADA,M,High School or Below,556945,53565,71,1,Personal Auto,FOUR-DOOR CAR,340
LA97014,WASHINGTON,M,Bachelor,257651,37574,66,1,Personal Auto,TWO-DOOR CAR,412
NB79936,WASHINGTON,M,Bachelor,834698,48259,108,0,Personal Auto,TWO-DOOR CAR,73
NT89061,ARIZONA,F,High School or Below,632392,78532,78,0,Personal Auto,FOUR-DOOR CAR,374
AF10970,ARIZONA,F,Bachelor,597314,96163,73,0,Corporate Auto,FOUR-DOOR CAR,350
ZG48513,CALIFORNIA,M,Bachelor,470667,0,72,0,Personal Auto,FOUR-DOOR CAR,345
JQ59145,CALIFORNIA,M,High School or Below,809341,0,114,1,Personal Auto,LUXURY,722
FE84989,WASHINGTON,M,College,503574,72672,63,0,Personal Auto,FOUR-DOOR CAR,259
JT52858,OREGON,F,Bachelor,902786,99002,112,1,Personal Auto,FOUR-DOOR CAR,537
MC62068,CALIFORNIA,M,High School or Below,728888,79494,91,0,Personal Auto,FOUR-DOOR CAR,396
EU27538,OREGON,M,Master,1804247,35704,225,0,Personal Auto,LUXURY,358
RH42306,ARIZONA,F,Bachelor,499206,0,71,0,Corporate Auto,FOUR-DOOR CAR,653
US23612,OREGON,F,High School or Below,910226,26049,118,0,Personal Auto,TWO-DOOR CAR,121
WV76014,ARIZONA,M,Doctor,254040,70125,64,0,Special Auto,FOUR-DOOR CAR,92
RK96223,CALIFORNIA,M,College,1294189,52369,110,1,Personal Auto,SUV,528
MF82000,WASHINGTON,F,Bachelor,236534,0,66,2,Special Auto,FOUR-DOOR CAR,159
FM46980,ARIZONA,M,College,572076,41770,72,0,Personal Auto,FOUR-DOOR CAR,476
SY56792,OREGON,M,High School or Below,703553,0,101,0,Corporate Auto,FOUR-DOOR CAR,727
RF61565,CALIFORNIA,M,College,263697,31911,67,0,Personal Auto,FOUR-DOOR CAR,321
IM94808,NEVADA,M,Bachelor,539583,70051,68,0,Corporate Auto,FOUR-DOOR CAR,42
VI14730,OREGON,M,High School or Below,838263,19683,117,1,Personal Auto,LUXURY,561
YR34119,WASHINGTON,F,College,3116174,30916,112,0,Personal Auto,SUV,200
RR77985,OREGON,F,Bachelor,288774,0,80,0,Personal Auto,FOUR-DOOR CAR,676
QD28391,WASHINGTON,M,College,742584,84302,62,0,Personal Auto,FOUR-DOOR CAR,76
WV17090,CALIFORNIA,M,Bachelor,2558572,0,116,0,Corporate Auto,SUV,830
TM23514,OREGON,M,College,1027260,60145,132,0,Personal Auto,SUV,580
MQ68407,OREGON,F,Bachelor,437636,63774,111,0,Personal Auto,FOUR-DOOR CAR,60
GJ59592,CALIFORNIA,F,Bachelor,531889,25134,67,0,Corporate Auto,FOUR-DOOR CAR,321
FY56083,OREGON,M,Bachelor,471976,37057,61,1,Personal Auto,FOUR-DOOR CAR,47
UA94723,OREGON,F,High School or Below,442803,58577,110,0,Personal Auto,SUV,303
FW91032,CALIFORNIA,M,High School or Below,587917,85857,73,0,Corporate Auto,FOUR-DOOR CAR,100
DE34457,OREGON,F,Doctor,941690,70602,116,0,Personal Auto,SUV,481
HD32044,OREGON,F,Master,828815,33816,106,2,Corporate Auto,FOUR-DOOR CAR,508
HH30454,OREGON,M,Bachelor,3265483,0,153,0,Personal Auto,SUV,1101
AH84063,OREGON,F,College,471945,89642,121,4,Corporate Auto,SUV,86
QA17596,CALIFORNIA,F,Bachelor,390347,60068,98,0,Personal Auto,TWO-DOOR CAR,470
XI41052,CALIFORNIA,F,Bachelor,545725,50044,139,0,Personal Auto,SUV,667
DI30528,CALIFORNIA,F,Master,272535,36650,69,1,Personal Auto,FOUR-DOOR CAR,56
SC66359,ARIZONA,F,College,443397,50653,110,0,Corporate Auto,SUV,262
EN61670,ARIZONA,F,Doctor,533246,68931,66,0,Personal Auto,FOUR-DOOR CAR,309
DQ10761,OREGON,M,Bachelor,231509,0,73,1,Corporate Auto,FOUR-DOOR CAR,350
BQ51587,CALIFORNIA,F,College,541195,0,73,0,Personal Auto,FOUR-DOOR CAR,365
JE21522,CALIFORNIA,M,Bachelor,958733,39266,80,0,Personal Auto,FOUR-DOOR CAR,384
WS47147,CALIFORNIA,M,College,2210350,0,102,0,Personal Auto,SUV,489
ZA64638,NEVADA,F,High School or Below,976494,0,98,1,Personal Auto,FOUR-DOOR CAR,705
EW38459,NEVADA,F,Bachelor,256715,40864,65,0,Corporate Auto,FOUR-DOOR CAR,9
QW87316,OREGON,F,College,265062,39035,68,0,Personal Auto,FOUR-DOOR CAR,244
IC43478,CALIFORNIA,M,Bachelor,1126436,34923,98,0,Personal Auto,TWO-DOOR CAR,639
TE34064,CALIFORNIA,M,High School or Below,216852,0,63,0,Personal Auto,FOUR-DOOR CAR,453
WU60905,CALIFORNIA,F,High School or Below,861066,0,111,0,Corporate Auto,SUV,532
YM18992,CALIFORNIA,F,College,283464,24506,71,0,Personal Auto,TWO-DOOR CAR,511
PD55753,OREGON,M,High School or Below,893013,0,82,0,Personal Auto,FOUR-DOOR CAR,554
KU56006,ARIZONA,F,College,553638,52220,70,1,Personal Auto,FOUR-DOOR CAR,336
MJ69973,ARIZONA,M,High School or Below,284085,0,74,0,Personal Auto,TWO-DOOR CAR,402
TW43626,CALIFORNIA,M,College,808288,53554,67,0,Personal Auto,FOUR-DOOR CAR,327
XX84133,CALIFORNIA,M,Bachelor,525473,34476,67,1,Corporate Auto,FOUR-DOOR CAR,5
ZW84453,ARIZONA,F,Bachelor,511623,0,70,0,Personal Auto,FOUR-DOOR CAR,131
HO29524,CALIFORNIA,M,College,303464,68205,76,0,Personal Auto,TWO-DOOR CAR,99
VE89726,CALIFORNIA,F,High School or Below,802489,0,119,1,Personal Auto,SUV,856
GE87503,CALIFORNIA,M,High School or Below,1821114,53690,154,0,Personal Auto,SUV,739
PX90263,OREGON,M,High School or Below,512156,0,72,0,Personal Auto,FOUR-DOOR CAR,518
NI17718,CALIFORNIA,F,High School or Below,215017,0,61,0,Personal Auto,FOUR-DOOR CAR,292
FY32213,CALIFORNIA,F,High School or Below,559538,74454,71,0,Personal Auto,FOUR-DOOR CAR,340
RZ13254,NEVADA,F,Bachelor,756282,0,73,0,Personal Auto,FOUR-DOOR CAR,350
GN45013,OREGON,M,High School or Below,538585,29664,71,0,Personal Auto,FOUR-DOOR CAR,340
NM39588,WASHINGTON,F,Doctor,267805,72450,66,0,Corporate Auto,FOUR-DOOR CAR,84
KU84464,NEVADA,F,Bachelor,942256,47272,79,3,Personal Auto,FOUR-DOOR CAR,64
YH43527,OREGON,F,College,360586,21585,92,0,Corporate Auto,FOUR-DOOR CAR,441
RO30676,CALIFORNIA,F,College,776259,23827,106,2,Personal Auto,FOUR-DOOR CAR,37
QL59704,ARIZONA,F,College,2344490,69906,74,2,Corporate Auto,FOUR-DOOR CAR,202
QH19450,CALIFORNIA,F,High School or Below,255817,0,72,0,Corporate Auto,FOUR-DOOR CAR,345
SA54664,WASHINGTON,M,Master,265438,73196,66,1,Personal Auto,FOUR-DOOR CAR,85
CI38330,WASHINGTON,M,Bachelor,254978,72217,6464,0,Personal Auto,FOUR-DOOR CAR,91
WB38524,CALIFORNIA,M,High School or Below,296959,46131,74,0,Personal Auto,TWO-DOOR CAR,355
CE56187,OREGON,F,Master,436312,54514,109,3,Personal Auto,SUV,286
JL19416,CALIFORNIA,F,High School or Below,588430,0,161,0,Personal Auto,SUV,1159
JZ61422,NEVADA,F,College,527219,96668,66,0,Personal Auto,FOUR-DOOR CAR,316
LA13377,CALIFORNIA,M,Doctor,550989,78879,69,1,Personal Auto,FOUR-DOOR CAR,466
NC99948,NEVADA,M,College,1631368,0,69,0,Personal Auto,FOUR-DOOR CAR,331
QD34785,ARIZONA,F,Bachelor,567805,0,76,0,Personal Auto,FOUR-DOOR CAR,364
RO26085,CALIFORNIA,F,Bachelor,1210120,0,112,0,Personal Auto,LUXURY,1252
ES57969,OREGON,M,Bachelor,245357,29735,69,0,Personal Auto,FOUR-DOOR CAR,331
JK55587,CALIFORNIA,M,High School or Below,507566,23082,65,0,Special Auto,FOUR-DOOR CAR,312
RN97635,ARIZONA,M,Bachelor,321497,53984,80,0,Corporate Auto,FOUR-DOOR CAR,421
BI76326,CALIFORNIA,F,College,1227534,52135,156,0,Personal Auto,SUV,430
JA34909,CALIFORNIA,F,College,272221,17576,71,0,Corporate Auto,FOUR-DOOR CAR,398
OJ90342,OREGON,F,Bachelor,245744,29486,62,0,Personal Auto,FOUR-DOOR CAR,7
CM88932,OREGON,F,Master,355484,58557,88,0,Corporate Auto,FOUR-DOOR CAR,55
JJ97525,CALIFORNIA,M,Bachelor,492954,25632,63,0,Personal Auto,TWO-DOOR CAR,351
XV21647,CALIFORNIA,F,High School or Below,803645,0,112,0,Personal Auto,LUXURY,806
MC83487,ARIZONA,M,Bachelor,427691,18768,68,3,Corporate Auto,FOUR-DOOR CAR,647
BL90769,CALIFORNIA,F,Bachelor,3347334,33190,106,0,Personal Auto,SUV,508
CR57148,OREGON,F,Master,596058,47945,74,0,Personal Auto,TWO-DOOR CAR,128
CP85232,ARIZONA,M,College,4479546,58778,126,0,Special Auto,SUV,302
YL74732,CALIFORNIA,F,High School or Below,383211,15192,100,0,Personal Auto,SUV,480
FG16766,CALIFORNIA,F,Bachelor,683793,51859,171,0,Personal Auto,SUV,1003
NV55438,NEVADA,F,High School or Below,528526,23422,72,0,Personal Auto,TWO-DOOR CAR,518
RM10880,CALIFORNIA,F,College,309651,21604,79,0,Corporate Auto,FOUR-DOOR CAR,379
GL56175,ARIZONA,M,College,358971,79298,90,0,Personal Auto,FOUR-DOOR CAR,244
UK52289,ARIZONA,F,Bachelor,258240,76731,64,0,Special Auto,FOUR-DOOR CAR,201
OT85112,WASHINGTON,M,College,340391,38460,88,1,Personal Auto,FOUR-DOOR CAR,91
BC62782,ARIZONA,F,College,1357567,48534,115,1,Personal Auto,SUV,552
TI19722,WASHINGTON,M,Doctor,343613,30817,88,0,Corporate Auto,FOUR-DOOR CAR,91
JP30654,OREGON,F,College,2868582,48412,104,0,Personal Auto,SUV,707
UM45563,WASHINGTON,M,Bachelor,450267,68798,114,0,Personal Auto,SUV,92
EN60878,OREGON,M,Bachelor,618311,23712,85,0,Personal Auto,FOUR-DOOR CAR,376
JF36291,CALIFORNIA,M,College,387364,28142,105,0,Personal Auto,LUXURY,701
BK59444,CALIFORNIA,F,Master,1892933,72196,68,0,Personal Auto,FOUR-DOOR CAR,152
MK70700,CALIFORNIA,M,Master,555329,68197,69,0,Personal Auto,FOUR-DOOR CAR,176
IW71076,CALIFORNIA,M,Bachelor,501125,75248,63,0,Corporate Auto,FOUR-DOOR CAR,104
AP98768,CALIFORNIA,F,College,1044244,0,98,0,Personal Auto,FOUR-DOOR CAR,941
OM24164,NEVADA,M,Bachelor,219961,0,65,1,Personal Auto,TWO-DOOR CAR,468
HR85211,WASHINGTON,F,Master,512317,89879,63,0,Personal Auto,TWO-DOOR CAR,94
VC87846,OREGON,M,High School or Below,748431,46998,96,0,Corporate Auto,FOUR-DOOR CAR,460
ZM92052,OREGON,M,Bachelor,261302,57099,67,0,Personal Auto,TWO-DOOR CAR,67
ON73702,ARIZONA,F,Bachelor,908063,33897,114,0,Corporate Auto,SUV,539
QQ90441,NEVADA,F,High School or Below,1377097,59207,116,0,Personal Auto,FOUR-DOOR CAR,556
HU35721,OREGON,M,High School or Below,287682,40171,73,0,Personal Auto,FOUR-DOOR CAR,350
YP47665,WASHINGTON,M,Doctor,540891,80192,67,0,Personal Auto,FOUR-DOOR CAR,95
FU99476,WASHINGTON,M,High School or Below,677030,74422,85,1,Personal Auto,FOUR-DOOR CAR,95
AG85615,OREGON,M,College,2414387,0,87,0,Special Auto,FOUR-DOOR CAR,626
OY74069,ARIZONA,F,College,353805,0,67,5,Personal Auto,FOUR-DOOR CAR,321
DJ91267,NEVADA,F,Bachelor,2909123,34226,244,0,Personal Auto,LUXURY,494
KB72438,CALIFORNIA,F,High School or Below,1983420,65989,123,1,Personal Auto,SUV,115
TR67616,OREGON,M,High School or Below,473136,30686,61,0,Corporate Auto,FOUR-DOOR CAR,19
GF65731,CALIFORNIA,F,Master,3553784,0,113,0,Personal Auto,LUXURY,799
HB67642,ARIZONA,F,High School or Below,3461137,20090,109,0,Personal Auto,LUXURY,523
DP84567,CALIFORNIA,M,High School or Below,2021630,0,183,0,Personal Auto,LUXURY,878
VV77534,OREGON,M,College,1397651,77094,176,0,Personal Auto,SUV,444
GL67540,CALIFORNIA,F,College,590408,97413,73,0,Personal Auto,FOUR-DOOR CAR,268
SV50502,OREGON,F,Master,559583,79189,69,0,Corporate Auto,FOUR-DOOR CAR,331
UK59698,CALIFORNIA,F,High School or Below,229430,0,62,0,Personal Auto,TWO-DOOR CAR,297
OA57352,ARIZONA,F,College,627391,18577,86,0,Personal Auto,FOUR-DOOR CAR,412
ZF84449,OREGON,F,College,372672,0,112,1,Special Auto,LUXURY,806
AX86150,WASHINGTON,M,High School or Below,265671,62777,67,0,Personal Auto,TWO-DOOR CAR,101
HG39060,OREGON,M,Bachelor,511068,0,74,0,Corporate Auto,FOUR-DOOR CAR,532
EM29359,NEVADA,M,College,712659,17483,183,0,Personal Auto,LUXURY,1317
SF57173,OREGON,M,Master,460163,84394,114,0,Personal Auto,SUV,691
OT47603,OREGON,M,College,915523,0,127,0,Personal Auto,LUXURY,804
SW31412,OREGON,F,College,1480805,41440,62,1,Personal Auto,FOUR-DOOR CAR,297
JS36322,ARIZONA,M,High School or Below,890167,0,136,1,Personal Auto,LUXURY,1090
RE81445,OREGON,F,College,573459,98132,71,0,Personal Auto,TWO-DOOR CAR,50
RM24280,OREGON,F,High School or Below,417769,0,112,0,Personal Auto,FOUR-DOOR CAR,537
LC25393,CALIFORNIA,M,Bachelor,2777628,88220,230,0,Personal Auto,LUXURY,151
UX38930,ARIZONA,F,Master,1036434,58327,129,0,Personal Auto,SUV,347
HD95496,OREGON,M,Master,785190,25950,66,0,Personal Auto,TWO-DOOR CAR,271
RX24650,OREGON,M,High School or Below,477294,20993,133,0,Corporate Auto,SUV,638
DW19309,OREGON,M,High School or Below,1422650,65726,177,0,Corporate Auto,SUV,849
MT41386,WASHINGTON,M,Bachelors,287543,84768,72,0,Personal Auto,TWO-DOOR CAR,110
WZ40465,WASHINGTON,F,Bachelor,504129,36234,63,0,Personal Auto,FOUR-DOOR CAR,113
DB42794,CALIFORNIA,M,College,436293,58842,110,0,Personal Auto,FOUR-DOOR CAR,528
JB50798,OREGON,F,Master,962452,25629,124,2,Corporate Auto,LUXURY,595
IP69763,WASHINGTON,F,College,2191440,77311,181,0,Personal Auto,SUV,113
TE35785,CALIFORNIA,M,Doctor,694842,0,196,2,Personal Auto,LUXURY,1337
HX74855,WASHINGTON,M,High School or Below,247152,95697,61,0,Personal Auto,TWO-DOOR CAR,114
QN65180,OREGON,F,Bachelor,2190391,22254,79,0,Personal Auto,FOUR-DOOR CAR,125
GE47180,NEVADA,M,High School or Below,902882,65974,113,0,Personal Auto,LUXURY,235
VQ38776,OREGON,F,College,530375,0,76,0,Personal Auto,FOUR-DOOR CAR,395
BH86846,WASHINGTON,M,High School or Below,2070825,92079,65,1,Corporate Auto,FOUR-DOOR CAR,114
IN17648,NEVADA,M,High School or Below,512376,0,74,0,Personal Auto,TWO-DOOR CAR,772
DF95759,OREGON,M,College,949234,0,132,0,Personal Auto,SUV,633
QG45324,OREGON,F,High School or Below,820486,0,73,0,Personal Auto,FOUR-DOOR CAR,350
MN61620,ARIZONA,F,College,987729,67752,131,4,Personal Auto,LUXURY,168
YH86390,CALIFORNIA,F,Bachelor,481500,25398,64,0,Corporate Auto,FOUR-DOOR CAR,307
FY13480,CALIFORNIA,M,High School or Below,627701,0,88,0,Personal Auto,FOUR-DOOR CAR,633
YH61661,CALIFORNIA,M,High School or Below,826063,33321,105,0,Special Auto,SUV,504
NL93182,NEVADA,M,Bachelor,254945,0,78,0,Corporate Auto,FOUR-DOOR CAR,845
LN31673,WASHINGTON,,College,1131808,38923,99,2,Personal Auto,FOUR-DOOR CAR,115
WE68644,OREGON,F,Bachelor,380392,20325,100,0,Personal Auto,LUXURY,668
EZ30498,OREGON,M,Bachelor,863540,13129,117,0,Personal Auto,SUV,700
QY74517,OREGON,F,High School or Below,551055,0,73,0,Personal Auto,FOUR-DOOR CAR,525
NM88660,NEVADA,M,Master,358588,49080,91,0,Corporate Auto,FOUR-DOOR CAR,25
MZ82036,NEVADA,M,College,488925,42536,63,0,Personal Auto,FOUR-DOOR CAR,375
ID20929,OREGON,M,Bachelor,275694,29926,74,0,Corporate Auto,FOUR-DOOR CAR,418
EY50028,NEVADA,M,Doctor,328954,0,86,0,Corporate Auto,TWO-DOOR CAR,398
TT82373,CALIFORNIA,F,Bachelor,1093717,21450,138,0,Personal Auto,LUXURY,938
OH64088,CALIFORNIA,M,High School or Below,737556,33345,65,0,Corporate Auto,FOUR-DOOR CAR,338
SK97780,CALIFORNIA,F,Bachelor,1011077,15752,90,0,Corporate Auto,TWO-DOOR CAR,339
IO33050,OREGON,F,High School or Below,511941,40169,65,1,Personal Auto,FOUR-DOOR CAR,302
XA55917,CALIFORNIA,F,College,853383,26049,113,1,Personal Auto,SUV,619
JK32620,NEVADA,M,College,222476,0,68,0,Personal Auto,FOUR-DOOR CAR,326
RQ19236,ARIZONA,M,Doctor,804280,55411,100,0,Personal Auto,LUXURY,259
QC47433,OREGON,M,College,255443,12459,70,0,Personal Auto,FOUR-DOOR CAR,336
RA93608,OREGON,M,Bachelor,1807394,64620,76,1,Personal Auto,TWO-DOOR CAR,364
XH97711,CALIFORNIA,M,Bachelor,243050,83140,61,0,Corporate Auto,FOUR-DOOR CAR,179
AU96286,OREGON,F,Bachelor,316765,0,92,0,Corporate Auto,FOUR-DOOR CAR,662
KC17170,ARIZONA,F,Bachelor,546560,54422,68,0,Corporate Auto,FOUR-DOOR CAR,75
ZN47335,CALIFORNIA,M,College,1035751,68309,131,0,Corporate Auto,SUV,306
EI46264,CALIFORNIA,M,High School or Below,253781,56621,65,2,Personal Auto,FOUR-DOOR CAR,84
EK87864,ARIZONA,F,College,282194,38977,70,0,Special Auto,FOUR-DOOR CAR,139
GV45403,ARIZONA,M,Bachelor,775712,0,111,0,Corporate Auto,TWO-DOOR CAR,607
QK31192,ARIZONA,M,High School or Below,407913,0,114,0,Corporate Auto,TWO-DOOR CAR,631
LU89008,ARIZONA,F,College,595554,0,83,0,Personal Auto,FOUR-DOOR CAR,628
NS10490,OREGON,F,Bachelor,1415861,83235,70,0,Personal Auto,TWO-DOOR CAR,336
KL98495,NEVADA,M,College,848723,0,74,0,Personal Auto,TWO-DOOR CAR,426
IU96845,ARIZONA,M,College,628547,32390,80,0,Personal Auto,FOUR-DOOR CAR,91
QL93655,OREGON,F,High School or Below,1147348,66538,95,0,Personal Auto,TWO-DOOR CAR,317
PF40592,WASHINGTON,F,College,494263,23285,65,0,Personal Auto,TWO-DOOR CAR,118
LZ34046,OREGON,M,Bachelor,2359468,76358,66,0,Personal Auto,FOUR-DOOR CAR,86
JC80093,WASHINGTON,M,Master,257250,21104,66,0,Personal Auto,FOUR-DOOR CAR,118
YE88490,ARIZONA,F,College,538089,55350,67,0,Personal Auto,FOUR-DOOR CAR,321
YC80498,CALIFORNIA,F,College,477055,12964,65,0,Personal Auto,TWO-DOOR CAR,362
AI85843,ARIZONA,F,Master,675665,33288,86,2,Personal Auto,FOUR-DOOR CAR,221
XD66024,ARIZONA,F,College,593601,0,84,0,Personal Auto,FOUR-DOOR CAR,980
FY51713,ARIZONA,F,Bachelor,357076,56168,88,0,Personal Auto,FOUR-DOOR CAR,614
PH26378,CALIFORNIA,M,College,601996,0,92,0,Personal Auto,FOUR-DOOR CAR,662
WQ18638,OREGON,M,High School or Below,542686,23105,69,0,Personal Auto,TWO-DOOR CAR,331
KY14688,OREGON,F,Master,273031,36218,68,0,Personal Auto,FOUR-DOOR CAR,145
TC97762,CALIFORNIA,F,High School or Below,498268,52275,62,0,Corporate Auto,FOUR-DOOR CAR,374
QC87108,OREGON,F,College,876926,49665,74,0,Personal Auto,FOUR-DOOR CAR,355
CX12134,NEVADA,M,High School or Below,422061,32471,110,0,Personal Auto,TWO-DOOR CAR,528
SM73248,ARIZONA,M,High School or Below,1153750,0,86,1,Corporate Auto,TWO-DOOR CAR,619
CK19789,CALIFORNIA,F,Master,588718,62773,73,0,Personal Auto,FOUR-DOOR CAR,80
UV12583,CALIFORNIA,F,College,470058,76694,117,0,Personal Auto,SUV,561
JC11405,OREGON,M,High School or Below,1096395,55687,276,0,Personal Auto,LUXURY,1324
KA89683,ARIZONA,F,High School or Below,252317,0,70,0,Personal Auto,FOUR-DOOR CAR,504
BG85305,NEVADA,M,Doctor,375780,36633,96,1,Personal Auto,FOUR-DOOR CAR,460
UQ87917,OREGON,M,High School or Below,1294173,77060,106,0,Personal Auto,SUV,468
XN11823,NEVADA,F,Bachelor,376446,92600,94,0,Corporate Auto,TWO-DOOR CAR,842
OS46571,CALIFORNIA,M,High School or Below,688955,0,66,0,Personal Auto,FOUR-DOOR CAR,475
PX17116,NEVADA,M,College,362345,0,111,2,Corporate Auto,SUV,1171
RP19541,ARIZONA,M,College,758211,64801,64,0,Personal Auto,FOUR-DOOR CAR,268
ZR25747,OREGON,F,College,827774,45257,103,0,Corporate Auto,TWO-DOOR CAR,494
NQ86532,CALIFORNIA,M,High School or Below,257645,26854,66,0,Personal Auto,FOUR-DOOR CAR,475
JY27336,OREGON,F,College,820538,85840,102,2,Corporate Auto,SUV,138
PB54378,OREGON,F,Doctor,1958246,26463,72,0,Corporate Auto,FOUR-DOOR CAR,345
SV38190,NEVADA,F,Bachelor,648152,30689,81,0,Personal Auto,FOUR-DOOR CAR,467
CV24005,OREGON,M,High School or Below,259931,29590,66,0,Corporate Auto,TWO-DOOR CAR,467
EX28656,OREGON,F,College,983033,25965,253,0,Personal Auto,LUXURY,1214
CF57022,OREGON,M,Bachelor,1044265,17269,139,0,Personal Auto,SUV,667
GM16780,OREGON,M,College,3605753,90330,137,3,Corporate Auto,LUXURY,192
BX94438,CALIFORNIA,F,High School or Below,847003,0,113,0,Corporate Auto,SUV,619
RM41745,CALIFORNIA,F,High School or Below,827878,0,110,0,Personal Auto,FOUR-DOOR CAR,1002
XR70252,CALIFORNIA,F,High School or Below,478893,0,67,1,Personal Auto,TWO-DOOR CAR,321
YH92099,ARIZONA,F,Bachelor,308799,18558,80,0,Special Auto,FOUR-DOOR CAR,384
SG81493,ARIZONA,M,Bachelor,444373,46384,113,0,Corporate Auto,FOUR-DOOR CAR,251
ZX23819,OREGON,F,High School or Below,798408,0,72,0,Personal Auto,TWO-DOOR CAR,866
FJ54907,OREGON,F,College,718097,42303,180,0,Personal Auto,LUXURY,1210
CU26127,CALIFORNIA,F,Bachelor,1565603,71731,130,0,Corporate Auto,SUV,599
YH60476,OREGON,M,High School or Below,578018,51066,74,0,Corporate Auto,FOUR-DOOR CAR,787
ZZ97035,CALIFORNIA,M,College,2071494,0,203,0,Corporate Auto,LUXURY,2027
GE82737,NEVADA,F,Bachelor,533735,0,86,3,Personal Auto,FOUR-DOOR CAR,619
KY21873,ARIZONA,M,College,505082,0,69,0,Personal Auto,TWO-DOOR CAR,72
UA51318,ARIZONA,F,High School or Below,511662,26173,68,1,Corporate Auto,FOUR-DOOR CAR,449
BV55014,OREGON,M,Bachelor,726873,24445,63,0,Personal Auto,TWO-DOOR CAR,302
HX21307,OREGON,M,College,261661,72302,66,0,Personal Auto,TWO-DOOR CAR,316
LQ68252,OREGON,M,High School or Below,373843,27208,102,0,Personal Auto,SUV,489
CR92802,CALIFORNIA,F,Master,272535,36650,69,1,Special Auto,FOUR-DOOR CAR,56
SL35268,ARIZONA,M,College,545386,30855,68,0,Corporate Auto,FOUR-DOOR CAR,259
RD62882,ARIZONA,F,Bachelor,684615,0,95,0,Personal Auto,TWO-DOOR CAR,456
JS42382,OREGON,M,Master,617291,99960,76,0,Corporate Auto,FOUR-DOOR CAR,364
BT30554,ARIZONA,F,Bachelor,1034632,0,98,0,Personal Auto,FOUR-DOOR CAR,470
