customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
VP57424,NEVADA,F,Bachelor,699700,55873,88,0,Personal Auto,FOUR-DOOR CAR,299
VU19243,ARIZONA,F,High School or Below,419625,18052,111,0,Personal Auto,FOUR-DOOR CAR,699
TA82973,OREGON,F,High School or Below,785810,28937,104,2,Personal Auto,SUV,117
GK71720,OREGON,F,High School or Below,606434,0,86,0,Personal Auto,FOUR-DOOR CAR,545
OQ61223,CALIFORNIA,M,College,1749752,0,73,0,Personal Auto,TWO-DOOR CAR,350
LL62746,OREGON,M,Doctor,897064,12829,118,0,Personal Auto,SUV,328
JQ56711,OREGON,F,Master,592311,92163,73,0,Personal Auto,TWO-DOOR CAR,66
AW77988,OREGON,M,High School or Below,3585059,17588,192,0,Personal Auto,LUXURY,1382
QP84605,WASHINGTON,F,Bachelor,870984,41546,111,0,Corporate Auto,FOUR-DOOR CAR,121
MY97912,ARIZONA,M,College,1330933,0,127,0,Personal Auto,SUV,609
IB87349,CALIFORNIA,M,High School or Below,452850,70340,113,0,Special Auto,FOUR-DOOR CAR,542
AW73065,OREGON,F,High School or Below,279190,0,74,0,Personal Auto,FOUR-DOOR CAR,532
BW80872,WASHINGTON,M,High School or Below,443441,34549,111,0,Personal Auto,FOUR-DOOR CAR,125
PX70175,ARIZONA,M,College,799600,93459,99,0,Personal Auto,FOUR-DOOR CAR,655
KF75098,ARIZONA,M,Bachelor,512973,86148,65,2,Personal Auto,FOUR-DOOR CAR,312
IS50283,CALIFORNIA,F,Bachelor,569717,27048,72,0,Corporate Auto,FOUR-DOOR CAR,345
MY64920,OREGON,F,College,921713,73259,115,0,Personal Auto,SUV,673
KN34250,OREGON,F,College,1020892,35482,129,0,Corporate Auto,SUV,619
GN46207,OREGON,F,Master,417068,29462,107,1,Personal Auto,SUV,513
KL57176,OREGON,F,College,450540,67801,115,1,Personal Auto,SUV,23
MN94234,CALIFORNIA,M,High School or Below,310756,0,94,4,Personal Auto,TWO-DOOR CAR,451
JY90595,ARIZONA,M,High School or Below,552866,16042,73,0,Personal Auto,TWO-DOOR CAR,350
HK26543,CALIFORNIA,M,High School or Below,504586,28056,64,1,Personal Auto,FOUR-DOOR CAR,307
PN86062,CALIFORNIA,M,High School or Below,296272,16495,85,3,Corporate Auto,FOUR-DOOR CAR,408
VW27730,CALIFORNIA,F,Master,866595,41163,108,0,Corporate Auto,SUV,231
SH55671,ARIZONA,F,College,1141344,0,161,1,Personal Auto,LUXURY,772
MO56878,CALIFORNIA,M,Bachelor,1548843,33799,109,3,Corporate Auto,SUV,664
VO38365,WASHINGTON,F,College,886114,90125,110,0,Corporate Auto,SUV,128
SV35618,OREGON,F,Bachelor,593474,87747,147,1,Personal Auto,SUV,46
RX12347,NEVADA,M,College,354323,35695,90,0,Personal Auto,FOUR-DOOR CAR,432
FR55658,CALIFORNIA,M,Master,349002,90985,87,0,Personal Auto,FOUR-DOOR CAR,78
XS12556,CALIFORNIA,F,College,368309,0,101,0,Corporate Auto,LUXURY,564
ZU73588,CALIFORNIA,M,College,598977,66839,154,0,Personal Auto,LUXURY,739
WT43034,CALIFORNIA,F,High School or Below,1250084,0,165,0,Personal Auto,SUV,792
VM13430,OREGON,F,Bachelor,860915,79090,107,0,Corporate Auto,SUV,289
TC78849,OREGON,M,Bachelor,249745,24825,64,0,Personal Auto,TWO-DOOR CAR,155
VC34764,CALIFORNIA,M,College,701917,26806,63,0,Personal Auto,FOUR-DOOR CAR,302
WO90953,OREGON,F,College,538792,56835,67,0,Personal Auto,TWO-DOOR CAR,326
IU47468,OREGON,F,Bachelor,616555,0,88,0,Special Auto,TWO-DOOR CAR,653
KO46064,CALIFORNIA,M,Bachelor,273020,46135,69,0,Personal Auto,FOUR-DOOR CAR,103
RB34917,ARIZONA,F,Bachelor,516211,0,73,0,Personal Auto,FOUR-DOOR CAR,809
BI38192,OREGON,F,High School or Below,793706,22862,67,0,Personal Auto,TWO-DOOR CAR,321
PU18983,OREGON,F,High School or Below,860815,21450,110,2,Personal Auto,LUXURY,528
SW79912,OREGON,M,Bachelor,263254,95854,65,0,Personal Auto,TWO-DOOR CAR,312
ES39217,OREGON,F,Bachelor,778500,44897,99,1,Personal Auto,FOUR-DOOR CAR,580
KP72427,WASHINGTON,M,High School or Below,2163983,64455,108,0,Personal Auto,SUV,133
UA19178,OREGON,F,Master,498082,53265,62,0,Personal Auto,FOUR-DOOR CAR,238
PR53785,ARIZONA,F,High School or Below,745723,0,198,1,Personal Auto,LUXURY,1577
XF57481,WASHINGTON,M,Master,1064093,50450,90,0,Personal Auto,TWO-DOOR CAR,135
CN90378,CALIFORNIA,F,High School or Below,686250,54780,88,3,Personal Auto,FOUR-DOOR CAR,135
KI56154,NEVADA,M,High School or Below,904898,0,119,0,Personal Auto,LUXURY,571
UI55951,CALIFORNIA,M,Bachelor,554803,67798,69,0,Personal Auto,FOUR-DOOR CAR,331
FF28650,OREGON,M,Bachelor,831268,21442,118,0,Personal Auto,SUV,566
FS55302,CALIFORNIA,M,Bachelor,238998,27615,62,1,Personal Auto,FOUR-DOOR CAR,297
TN79487,CALIFORNIA,M,Bachelor,445811,17622,65,1,Personal Auto,FOUR-DOOR CAR,312
HG32616,NEVADA,M,High School or Below,529574,50200,135,0,Personal Auto,LUXURY,637
UK41984,ARIZONA,F,Doctor,383960,0,112,2,Personal Auto,SUV,537
LZ52266,CALIFORNIA,F,High School or Below,373150,0,96,0,Personal Auto,FOUR-DOOR CAR,460
PM27367,CALIFORNIA,F,Master,277890,73570,70,1,Special Auto,TWO-DOOR CAR,75
ZK21724,OREGON,F,High School or Below,401654,0,111,0,Personal Auto,SUV,799
BH35482,WASHINGTON,M,Doctor,493094,70412,61,0,Corporate Auto,TWO-DOOR CAR,136
QE22757,NEVADA,M,Doctor,249131,36631,62,0,Personal Auto,FOUR-DOOR CAR,67
ON77649,OREGON,F,College,290887,35895,73,0,Personal Auto,FOUR-DOOR CAR,312
RN82884,ARIZONA,F,College,428294,40864,109,1,Personal Auto,SUV,166
CQ75652,OREGON,M,College,834162,0,118,0,Personal Auto,FOUR-DOOR CAR,566
FF58467,ARIZONA,F,Master,509078,93018,63,0,Personal Auto,FOUR-DOOR CAR,135
BS83666,OREGON,M,Bachelor,736618,70014,62,0,Corporate Auto,FOUR-DOOR CAR,17
WO29605,OREGON,F,College,243687,48875,61,0,Personal Auto,TWO-DOOR CAR,1
TL77607,CALIFORNIA,M,Bachelor,885268,67969,74,0,Personal Auto,FOUR-DOOR CAR,197
EZ50606,OREGON,F,High School or Below,2387547,0,108,0,Corporate Auto,SUV,612
OS39723,OREGON,F,Doctor,560049,68665,69,0,Personal Auto,TWO-DOOR CAR,331
FN69743,CALIFORNIA,M,College,463654,26802,66,1,Corporate Auto,TWO-DOOR CAR,316
XW96958,NEVADA,M,High School or Below,757334,0,110,0,Corporate Auto,FOUR-DOOR CAR,1193
TU92578,CALIFORNIA,M,College,1469663,45345,125,0,Personal Auto,SUV,600
TL43709,WASHINGTON,M,Bachelors,897214,89689,74,0,Personal Auto,FOUR-DOOR CAR,136
YE68736,CALIFORNIA,F,Bachelor,772484,32051,193,1,Personal Auto,SUV,926
OB96537,OREGON,M,Master,594667,81139,74,0,Special Auto,FOUR-DOOR CAR,392
EU68825,OREGON,F,Master,800054,63834,100,1,Personal Auto,LUXURY,215
CC31456,ARIZONA,M,Bachelor,645756,37548,81,0,Special Auto,FOUR-DOOR CAR,160
DJ77787,ARIZONA,F,High School or Below,728144,0,69,3,Personal Auto,FOUR-DOOR CAR,371
LN26837,CALIFORNIA,M,High School or Below,259243,72421,65,0,Personal Auto,FOUR-DOOR CAR,312
YI92916,NEVADA,M,Master,467842,83102,116,0,Corporate Auto,FOUR-DOOR CAR,443
NW54906,OREGON,M,College,1386992,28432,118,0,Personal Auto,SUV,612
ME77513,NEVADA,F,Master,871777,83707,108,0,Corporate Auto,FOUR-DOOR CAR,290
UK76891,CALIFORNIA,F,College,523398,63259,65,0,Corporate Auto,FOUR-DOOR CAR,316
SI26888,NEVADA,F,High School or Below,476418,0,67,0,Personal Auto,FOUR-DOOR CAR,405
YD74948,OREGON,F,College,247246,63860,62,0,Personal Auto,FOUR-DOOR CAR,208
HB64268,WASHINGTON,M,Bachelor,281369,43836,73,0,Personal Auto,FOUR-DOOR CAR,138
BW52697,CALIFORNIA,F,College,550505,86132,68,0,Personal Auto,TWO-DOOR CAR,301
NL41409,OREGON,F,Bachelor,260620,28519,66,0,Personal Auto,TWO-DOOR CAR,456
OD69005,ARIZONA,F,High School or Below,1048194,39102,88,0,Personal Auto,FOUR-DOOR CAR,152
ZZ91716,CALIFORNIA,F,Bachelor,325676,0,89,0,Personal Auto,FOUR-DOOR CAR,491
UK70255,CALIFORNIA,F,College,3047578,97298,128,0,Personal Auto,LUXURY,48
QT25383,NEVADA,M,High School or Below,636490,41986,84,2,Personal Auto,TWO-DOOR CAR,430
AW18068,ARIZONA,M,High School or Below,946850,0,88,0,Personal Auto,TWO-DOOR CAR,633
NS45347,OREGON,F,College,563145,17291,73,0,Personal Auto,FOUR-DOOR CAR,350
FV19421,CALIFORNIA,M,Bachelor,778099,0,74,0,Personal Auto,FOUR-DOOR CAR,246
XW89091,CALIFORNIA,M,College,981652,37256,62,0,Personal Auto,FOUR-DOOR CAR,128
YC11951,OREGON,M,High School or Below,751913,96306,95,1,Corporate Auto,FOUR-DOOR CAR,185
UY18770,CALIFORNIA,F,Bachelor,1017971,14290,271,0,Personal Auto,LUXURY,1300
RA49085,CALIFORNIA,F,College,277283,37038,71,1,Corporate Auto,FOUR-DOOR CAR,9
BG84194,OREGON,M,College,403750,90760,103,2,Special Auto,SUV,133
PT64580,WASHINGTON,M,Master,419196,77048,103,0,Personal Auto,SUV,141
MR67738,OREGON,F,High School or Below,267686,54480,67,0,Personal Auto,FOUR-DOOR CAR,321
DM95829,CALIFORNIA,M,College,252395,16244,68,0,Personal Auto,TWO-DOOR CAR,623
DB75522,CALIFORNIA,F,College,698840,22436,89,0,Special Auto,FOUR-DOOR CAR,427
LM34525,WASHINGTON,F,College,874205,71592,72,0,Personal Auto,FOUR-DOOR CAR,141
WW30771,ARIZONA,M,Master,267331,28728,67,0,Personal Auto,FOUR-DOOR CAR,321
QP65569,ARIZONA,M,High School or Below,1215732,57449,103,0,Personal Auto,FOUR-DOOR CAR,494
TN50051,CALIFORNIA,F,Doctor,295776,83318,73,0,Personal Auto,TWO-DOOR CAR,211
UO86707,WASHINGTON,M,Bachelors,717390,75217,61,1,Personal Auto,FOUR-DOOR CAR,147
JA41698,NEVADA,M,Bachelor,309953,0,102,5,Corporate Auto,SUV,862
NX18774,OREGON,M,Bachelor,841568,55308,107,0,Corporate Auto,SUV,513
DA69469,OREGON,F,College,2684312,36068,97,0,Personal Auto,TWO-DOOR CAR,113
CN23147,OREGON,M,Bachelor,1305717,48804,112,1,Corporate Auto,FOUR-DOOR CAR,537
RA68844,OREGON,M,College,959995,0,131,0,Personal Auto,SUV,943
GH42026,OREGON,M,Bachelor,853510,55790,111,0,Personal Auto,SUV,117
BD16530,ARIZONA,F,Bachelor,829348,70258,69,0,Personal Auto,FOUR-DOOR CAR,225
JH91579,OREGON,F,Bachelor,684615,0,95,0,Personal Auto,TWO-DOOR CAR,456
WK23685,OREGON,F,Bachelor,663685,47274,83,1,Corporate Auto,FOUR-DOOR CAR,182
GR62267,WASHINGTON,F,College,560908,44705,71,0,Personal Auto,TWO-DOOR CAR,148
PI78084,ARIZONA,M,High School or Below,507732,0,73,0,Personal Auto,TWO-DOOR CAR,525
GF97874,WASHINGTON,F,Master,527562,70446,65,0,Personal Auto,FOUR-DOOR CAR,155
ZH19885,WASHINGTON,F,High School or Below,251459,43860,65,0,Personal Auto,FOUR-DOOR CAR,156
UK25655,OREGON,F,Bachelor,343525,64348,86,0,Personal Auto,TWO-DOOR CAR,212
QR45101,OREGON,M,Bachelor,662461,0,62,0,Corporate Auto,TWO-DOOR CAR,297
EL93539,CALIFORNIA,M,Master,575744,88997,72,0,Special Auto,FOUR-DOOR CAR,174
EE99484,WASHINGTON,F,High School or Below,251459,43860,65,0,Corporate Auto,FOUR-DOOR CAR,156
DP46882,CALIFORNIA,F,High School or Below,288645,10312,78,0,Corporate Auto,FOUR-DOOR CAR,486
WP41146,CALIFORNIA,F,High School or Below,534143,0,72,1,Personal Auto,FOUR-DOOR CAR,345
TK60799,ARIZONA,F,High School or Below,416001,96263,103,0,Personal Auto,SUV,1
DN29808,CALIFORNIA,F,College,284624,28919,72,0,Corporate Auto,FOUR-DOOR CAR,518
SS59521,OREGON,F,College,477025,0,68,1,Personal Auto,TWO-DOOR CAR,326
NG66579,OREGON,M,Bachelor,505961,41869,64,0,Personal Auto,TWO-DOOR CAR,262
TC14209,ARIZONA,F,High School or Below,909574,0,128,0,Personal Auto,SUV,921
ED50963,CALIFORNIA,F,High School or Below,268886,32808,68,1,Personal Auto,FOUR-DOOR CAR,541
GP40701,CALIFORNIA,F,Bachelor,827763,79780,68,0,Personal Auto,FOUR-DOOR CAR,326
CP98451,OREGON,F,College,905793,91025,112,0,Personal Auto,SUV,327
NX52648,CALIFORNIA,F,High School or Below,380175,33043,95,0,Personal Auto,TWO-DOOR CAR,456
ZC32510,ARIZONA,M,High School or Below,933934,69442,118,3,Personal Auto,FOUR-DOOR CAR,1265
NG27780,OREGON,M,College,252012,0,70,0,Corporate Auto,FOUR-DOOR CAR,63
HN95240,ARIZONA,F,College,498409,0,70,0,Corporate Auto,FOUR-DOOR CAR,336
EB59129,OREGON,F,Bachelor,259574,47234,65,0,Personal Auto,FOUR-DOOR CAR,15
RA70851,OREGON,M,High School or Below,743769,86863,92,0,Personal Auto,FOUR-DOOR CAR,441
PM19162,OREGON,M,Bachelor,1453678,25805,66,2,Personal Auto,FOUR-DOOR CAR,375
MS59005,NEVADA,M,Bachelor,591330,43676,76,0,Personal Auto,FOUR-DOOR CAR,364
SU71163,ARIZONA,M,College,277166,59855,74,4,Personal Auto,TWO-DOOR CAR,355
BD35676,ARIZONA,M,Master,2919436,35296,126,0,Personal Auto,SUV,452
NI44621,OREGON,F,Master,988038,36576,125,1,Personal Auto,SUV,113
EW33419,CALIFORNIA,F,High School or Below,1511440,28513,100,1,Corporate Auto,SUV,480
HX44948,OREGON,M,Bachelor,575991,85448,72,0,Special Auto,FOUR-DOOR CAR,16
DL36983,OREGON,F,High School or Below,849516,23791,110,3,Personal Auto,TWO-DOOR CAR,615
XR87264,CALIFORNIA,F,Bachelor,438118,20597,112,0,Personal Auto,FOUR-DOOR CAR,615
NN99001,ARIZONA,F,College,699782,56940,87,0,Personal Auto,FOUR-DOOR CAR,512
XV95530,OREGON,M,Bachelor,1143058,93210,71,0,Personal Auto,TWO-DOOR CAR,74
OL97871,OREGON,F,Bachelor,748248,48992,94,1,Personal Auto,FOUR-DOOR CAR,426
HQ23708,ARIZONA,F,Master,859691,53736,71,0,Personal Auto,TWO-DOOR CAR,169
WR63188,ARIZONA,M,College,785496,25378,66,1,Personal Auto,FOUR-DOOR CAR,419
NG82219,OREGON,F,Bachelor,258240,76731,64,0,Personal Auto,FOUR-DOOR CAR,201
KU29408,WASHINGTON,M,Master,907576,37722,116,0,Corporate Auto,LUXURY,158
RE46783,CALIFORNIA,F,Bachelor,411858,69379,103,0,Personal Auto,TWO-DOOR CAR,494
RU94434,OREGON,M,High School or Below,1215732,57449,103,0,Personal Auto,FOUR-DOOR CAR,494
GI82355,ARIZONA,M,Bachelor,515281,0,68,0,Corporate Auto,FOUR-DOOR CAR,326
VO26340,NEVADA,M,College,651297,0,93,0,Personal Auto,TWO-DOOR CAR,669
NV61299,ARIZONA,F,Bachelor,2778969,33806,89,0,Corporate Auto,FOUR-DOOR CAR,395
DX31066,WASHINGTON,F,College,266727,94041,66,0,Personal Auto,FOUR-DOOR CAR,159
CY50337,OREGON,F,College,1092840,74965,90,0,Personal Auto,FOUR-DOOR CAR,58
TJ20375,ARIZONA,F,High School or Below,761538,34095,63,0,Personal Auto,TWO-DOOR CAR,302
EP72155,CALIFORNIA,F,College,200435,0,66,4,Personal Auto,FOUR-DOOR CAR,316
JJ76159,CALIFORNIA,M,College,243468,96045,61,0,Corporate Auto,FOUR-DOOR CAR,8
BG15419,NEVADA,F,Bachelor,1419536,86355,118,0,Personal Auto,LUXURY,285
AO74776,CALIFORNIA,F,High School or Below,942768,27824,118,0,Personal Auto,SUV,566
HQ82233,CALIFORNIA,M,High School or Below,1198242,42995,101,0,Personal Auto,SUV,410
OL72737,OREGON,F,High School or Below,310278,21235,79,0,Personal Auto,TWO-DOOR CAR,244
ZQ59828,CALIFORNIA,M,High School or Below,422263,74585,106,0,Personal Auto,SUV,218
NZ15548,OREGON,M,Bachelor,402381,41833,103,0,Personal Auto,FOUR-DOOR CAR,643
XK61304,CALIFORNIA,F,College,529715,23908,70,0,Personal Auto,FOUR-DOOR CAR,336
EJ44139,OREGON,M,Bachelor,2142363,0,65,0,Personal Auto,TWO-DOOR CAR,312
CM94425,ARIZONA,M,Bachelor,441620,61953,113,0,Personal Auto,SUV,497
OV54878,CALIFORNIA,M,Bachelor,463903,0,142,0,Corporate Auto,SUV,1022
JF57282,NEVADA,M,Bachelor,486354,0,137,0,Personal Auto,SUV,657
MY37953,ARIZONA,F,Bachelor,2583090,73760,107,1,Personal Auto,LUXURY,230
XP64922,OREGON,F,College,297431,23333,74,0,Corporate Auto,FOUR-DOOR CAR,5
WL65572,CALIFORNIA,M,College,206445,0,61,0,Personal Auto,FOUR-DOOR CAR,292
LN50325,ARIZONA,F,High School or Below,1006460,20440,128,2,Corporate Auto,LUXURY,614
HJ15383,WASHINGTON,M,Master,803240,27658,68,0,Personal Auto,FOUR-DOOR CAR,160
KH59823,CALIFORNIA,M,College,548921,50943,139,0,Special Auto,SUV,667
YM79169,CALIFORNIA,M,Bachelor,261275,19003,71,0,Personal Auto,TWO-DOOR CAR,34
DR38127,CALIFORNIA,M,College,857346,46703,108,0,Personal Auto,FOUR-DOOR CAR,678
PU42145,CALIFORNIA,M,Bachelor,2412750,14072,71,0,Personal Auto,FOUR-DOOR CAR,511
KM33477,OREGON,M,College,855038,21733,73,0,Corporate Auto,FOUR-DOOR CAR,525
RI53167,ARIZONA,M,Bachelor,230864,20811,61,0,Personal Auto,FOUR-DOOR CAR,292
OF77789,ARIZONA,F,High School or Below,425462,11904,61,2,Personal Auto,TWO-DOOR CAR,292
YB33445,OREGON,F,College,898285,43490,114,4,Corporate Auto,SUV,174
BA17836,CALIFORNIA,M,High School or Below,786816,57340,67,0,Corporate Auto,FOUR-DOOR CAR,159
JS43228,CALIFORNIA,M,College,770424,49088,97,0,Corporate Auto,FOUR-DOOR CAR,698
BB11622,NEVADA,M,Master,1055217,47761,131,0,Personal Auto,SUV,232
HQ70429,WASHINGTON,F,College,1604510,0,65,0,Personal Auto,TWO-DOOR CAR,163
WK88044,ARIZONA,M,Bachelor,873783,61281,110,0,Personal Auto,SUV,79
LA80525,NEVADA,M,Bachelor,545489,0,82,1,Corporate Auto,TWO-DOOR CAR,393
EH16250,ARIZONA,M,Bachelor,770528,25290,66,0,Personal Auto,FOUR-DOOR CAR,382
PU41872,ARIZONA,F,High School or Below,703926,24239,88,0,Personal Auto,FOUR-DOOR CAR,48
HB85743,CALIFORNIA,M,Bachelor,883808,82664,114,3,Personal Auto,SUV,133
MM71959,ARIZONA,M,Bachelor,873352,83210,110,0,Personal Auto,LUXURY,528
MB83663,OREGON,F,Bachelor,959747,38736,81,0,Personal Auto,TWO-DOOR CAR,561
KR43119,CALIFORNIA,M,College,450666,0,66,0,Personal Auto,FOUR-DOOR CAR,316
KH24214,OREGON,M,College,1785797,55437,64,1,Personal Auto,FOUR-DOOR CAR,445
AC40767,WASHINGTON,M,Bachelors,249780,68041,6464,0,Personal Auto,TWO-DOOR CAR,165
HP55391,OREGON,M,Master,542613,0,71,0,Corporate Auto,FOUR-DOOR CAR,407
EG62398,CALIFORNIA,F,High School or Below,799814,29066,100,0,Personal Auto,SUV,844
VS19949,NEVADA,M,Bachelor,289762,54337,72,0,Personal Auto,FOUR-DOOR CAR,345
AM92343,OREGON,F,High School or Below,1159950,67616,96,0,Personal Auto,FOUR-DOOR CAR,340
GI68556,CALIFORNIA,F,Bachelor,1514793,41082,63,0,Personal Auto,TWO-DOOR CAR,106
JT11876,WASHINGTON,F,High School or Below,543576,0,10202,0,Personal Auto,FOUR-DOOR CAR,626
XR64251,NEVADA,F,Master,272535,36650,69,1,Personal Auto,FOUR-DOOR CAR,56
MK34957,OREGON,F,College,1329771,50631,112,4,Special Auto,SUV,784
GP18756,CALIFORNIA,M,College,992704,19592,92,0,Personal Auto,FOUR-DOOR CAR,441
AP23850,WASHINGTON,F,High School or Below,1777154,0,114,0,Personal Auto,TWO-DOOR CAR,547
KQ65521,ARIZONA,F,College,1826927,55761,115,0,Personal Auto,LUXURY,86
EJ19449,CALIFORNIA,F,College,272221,17576,71,0,Special Auto,FOUR-DOOR CAR,398
QB70027,CALIFORNIA,F,Bachelor,708321,41449,89,0,Personal Auto,FOUR-DOOR CAR,63
QW47320,CALIFORNIA,F,Bachelor,1017971,14290,271,0,Personal Auto,LUXURY,1300
KH64733,NEVADA,F,College,588950,62007,73,0,Personal Auto,FOUR-DOOR CAR,120
ON59472,ARIZONA,M,High School or Below,1577139,21921,206,0,Corporate Auto,LUXURY,1254
HP94242,ARIZONA,F,Bachelor,528817,42621,66,0,Personal Auto,FOUR-DOOR CAR,316
RV15398,OREGON,M,College,2758055,0,87,1,Personal Auto,FOUR-DOOR CAR,417
EA25683,WASHINGTON,M,High School or Below,777853,63786,196,0,Corporate Auto,LUXURY,798
PW73754,CALIFORNIA,F,High School or Below,734186,0,104,3,Personal Auto,LUXURY,82
MC71942,CALIFORNIA,F,High School or Below,791919,82877,99,1,Personal Auto,TWO-DOOR CAR,22
OX72195,ARIZONA,M,College,216387,0,63,0,Corporate Auto,TWO-DOOR CAR,302
YQ99152,NEVADA,M,High School or Below,978780,10475,88,1,Personal Auto,TWO-DOOR CAR,422
KI19439,OREGON,F,High School or Below,520764,21952,66,0,Personal Auto,FOUR-DOOR CAR,316
PM76175,OREGON,F,Bachelor,2114727,49721,132,0,Corporate Auto,LUXURY,639
US45383,CALIFORNIA,M,College,1228076,88340,102,0,Personal Auto,TWO-DOOR CAR,489
GT38956,CALIFORNIA,F,College,244139,0,65,0,Personal Auto,FOUR-DOOR CAR,312
SN41301,OREGON,M,Bachelor,653556,0,65,0,Corporate Auto,FOUR-DOOR CAR,468
BE62503,WASHINGTON,F,College,920659,24589,82,0,Personal Auto,TWO-DOOR CAR,511
PA16884,CALIFORNIA,F,Bachelor,411858,69379,103,0,Personal Auto,TWO-DOOR CAR,494
NC58480,NEVADA,F,Bachelor,483820,73769,61,2,Personal Auto,FOUR-DOOR CAR,239
NS39326,CALIFORNIA,F,College,462554,66670,114,0,Personal Auto,SUV,518
PN18507,ARIZONA,M,Bachelor,1404210,88854,118,0,Personal Auto,TWO-DOOR CAR,715
EK91340,OREGON,M,Bachelor,754661,31266,193,0,Corporate Auto,LUXURY,926
JY16280,CALIFORNIA,F,High School or Below,251459,43860,65,0,Personal Auto,FOUR-DOOR CAR,156
ZW71731,CALIFORNIA,M,Bachelor,517035,89284,133,2,Corporate Auto,SUV,402
ZC24631,OREGON,M,College,1391737,67267,89,0,Corporate Auto,FOUR-DOOR CAR,94
YR34689,CALIFORNIA,F,High School or Below,1131813,79270,95,3,Personal Auto,FOUR-DOOR CAR,456
RT65829,OREGON,M,Bachelor,427636,36692,109,1,Personal Auto,FOUR-DOOR CAR,523
BZ12077,OREGON,F,High School or Below,432224,0,119,0,Personal Auto,SUV,571
WM65373,CALIFORNIA,F,College,800230,0,107,0,Corporate Auto,SUV,513
NH35059,NEVADA,M,College,388545,0,105,0,Corporate Auto,FOUR-DOOR CAR,504
QD38160,OREGON,M,College,447177,0,135,0,Personal Auto,SUV,972
BM15160,CALIFORNIA,F,High School or Below,849635,44624,71,1,Special Auto,FOUR-DOOR CAR,73
VY79030,ARIZONA,F,College,2250088,0,71,0,Corporate Auto,FOUR-DOOR CAR,340
EV19512,NEVADA,F,Master,1630196,19614,85,0,Personal Auto,TWO-DOOR CAR,574
TE13577,OREGON,F,College,231973,0,64,0,Personal Auto,FOUR-DOOR CAR,632
WY97929,ARIZONA,M,College,871704,83846,74,3,Special Auto,FOUR-DOOR CAR,355
YG20683,WASHINGTON,M,College,286011,51159,72,0,Personal Auto,FOUR-DOOR CAR,4
FK75497,CALIFORNIA,M,College,245340,83772,62,0,Personal Auto,TWO-DOOR CAR,42
NE60110,ARIZONA,M,College,598977,66839,154,0,Personal Auto,LUXURY,739
TN36521,ARIZONA,F,College,2498022,88440,70,0,Personal Auto,TWO-DOOR CAR,27
HG33568,ARIZONA,F,Master,748263,25666,63,2,Personal Auto,FOUR-DOOR CAR,270
TW17878,OREGON,F,High School or Below,245757,52926,61,0,Personal Auto,FOUR-DOOR CAR,292
ZO83562,NEVADA,F,Bachelor,237974,0,67,0,Personal Auto,FOUR-DOOR CAR,494
CH97539,WASHINGTON,F,Bachelor,828696,40001,70,0,Personal Auto,FOUR-DOOR CAR,142
CV29889,CALIFORNIA,M,College,239391,0,70,0,Personal Auto,FOUR-DOOR CAR,425
MO33320,OREGON,M,College,465715,18024,65,0,Personal Auto,TWO-DOOR CAR,312
QZ81258,OREGON,F,College,1319792,0,68,3,Personal Auto,FOUR-DOOR CAR,326
NY56352,OREGON,F,Bachelor,280391,23220,74,0,Personal Auto,FOUR-DOOR CAR,251
EA27048,CALIFORNIA,F,High School or Below,864650,64125,108,0,Personal Auto,SUV,369
